"UserID","CountryID","LanguageID","Gender","Age","Dep1Date","ReasonCA","Group","Split"
1324368,620,16,1,21,2005-03-18,3,"B","B3"
1324786,40,2,1,19,2005-08-06,1,"A","A4"
1324808,616,9,1,20,2005-02-11,2,"A","A4"
1324866,616,9,1,38,2005-02-03,2,"A","A4"
1325158,724,4,1,26,2005-02-01,2,"B","B4"
1325256,276,2,1,24,2005-09-01,2,"B","B4"
1325345,724,4,1,53,2005-02-04,2,"B","B3"
1325367,792,7,1,39,2005-02-01,3,"A","A3"
1325586,756,2,1,32,2005-04-27,2,"B","B4"
1325587,276,2,1,27,2005-02-08,2,"A","A4"
1325602,792,7,1,22,2005-12-27,1,"B","B4"
1325633,276,2,1,62,2005-02-01,2,"A","A3"
1325636,792,7,0,23,2005-02-01,3,"A","A4"
1325682,300,8,1,33,2005-02-01,3,"A","A4"
1325705,276,2,1,39,2005-02-05,3,"A","A4"
1325706,792,7,1,29,2005-06-21,2,"A","A4"
1325834,208,11,1,30,2005-02-01,2,"B","B4"
1325841,276,2,1,52,2005-02-03,2,"B","B4"
1325855,792,7,1,24,2006-04-15,2,"A","A4"
1325867,300,8,1,25,2005-02-01,1,"B","B1"
1325909,276,2,1,27,2005-08-03,1,"A","A2"
1325917,276,2,1,53,2005-02-04,3,"A","A4"
1326008,40,2,1,36,2005-02-01,3,"B","B4"
1326021,276,2,1,38,2005-02-01,2,"B","B4"
1326116,208,11,1,22,2005-02-01,3,"B","B4"
1326124,616,9,1,31,2005-02-11,2,"A","A4"
1326250,276,2,1,26,2005-02-04,2,"B","B4"
1326345,276,2,1,32,2005-02-08,2,"B","B4"
1326398,616,9,0,26,2005-02-07,2,"B","B3"
1326548,300,8,1,29,2005-02-02,3,"A","A4"
1326692,792,7,1,32,2006-04-02,3,"B","B4"
1326790,276,2,1,42,2005-05-19,3,"B","B1"
1326865,276,2,0,52,2005-02-05,1,"A","A4"
1326900,792,7,1,20,2005-03-29,2,"A","A4"
1327137,276,2,1,18,2005-02-04,2,"B","B4"
1327362,276,2,1,31,2005-02-02,2,"A","A4"
1327432,276,2,1,18,2005-02-04,3,"A","A4"
1327704,724,4,1,32,2005-02-02,3,"B","B4"
1327706,276,2,1,18,2005-02-16,3,"B","B4"
1327803,724,4,1,24,2005-02-02,2,"A","A4"
1328155,276,2,1,17,2005-02-02,3,"A","A4"
1328213,442,6,1,26,2005-02-02,1,"B","B2"
1328383,276,2,1,33,2005-04-20,2,"B","B4"
1328625,276,2,1,24,2005-02-08,1,"A","A4"
1329167,616,9,0,30,2005-02-10,3,"A","A4"
1329399,792,7,1,27,2005-02-03,2,"B","B4"
1329460,276,2,1,42,2005-02-03,3,"A","A1"
1329486,276,2,1,45,2005-02-05,2,"A","A4"
1329564,250,7,0,31,2005-02-03,2,"A","A4"
1329693,792,7,1,19,2005-03-01,2,"B","B4"
1330015,792,7,0,27,2005-02-03,1,"B","B4"
1330087,40,2,1,31,2005-02-03,1,"B","B3"
1330280,276,2,1,19,2005-02-05,3,"B","B4"
1330378,250,6,1,27,2005-02-03,1,"A","A1"
1330470,276,2,1,35,2005-02-08,3,"A","A3"
1330485,276,2,1,27,2005-02-05,3,"A","A4"
1330567,792,7,1,21,2005-08-11,2,"B","B3"
1330692,724,4,1,23,2005-02-03,3,"B","B4"
1330920,276,2,1,41,2005-02-03,2,"A","A3"
1331048,792,7,1,26,2005-02-08,3,"B","B4"
1331173,276,2,1,28,2005-02-05,2,"B","B2"
1331218,276,2,0,37,2005-02-04,2,"A","A4"
1331260,276,2,1,22,2005-02-11,2,"B","B4"
1331439,276,2,1,24,2005-02-04,3,"A","A4"
1331949,276,2,1,24,2005-02-08,3,"B","B1"
1332082,276,2,1,35,2005-02-04,1,"B","B3"
1332209,276,2,1,27,2005-02-04,2,"A","A4"
1332557,276,2,1,22,2005-02-04,2,"B","B4"
1332614,724,4,1,40,2005-02-04,2,"A","A4"
1332697,792,7,1,20,2005-05-11,1,"B","B4"
1332718,276,2,1,25,2005-02-09,2,"A","A2"
1332951,40,2,1,36,2005-02-05,2,"A","A4"
1333092,792,7,1,26,2005-02-04,2,"A","A3"
1333127,300,8,1,33,2005-02-08,1,"B","B3"
1333250,380,3,1,33,2005-02-04,3,"B","B4"
1333400,276,2,1,20,2005-09-27,2,"A","A4"
1334442,276,2,1,42,2005-03-09,2,"B","B3"
1334699,250,6,0,50,2005-02-05,2,"A","A4"
1334734,276,2,1,22,2005-02-09,2,"A","A4"
1334912,276,2,1,28,2005-02-05,2,"A","A4"
1334926,276,2,1,24,2005-02-05,3,"B","B4"
1335214,276,2,1,28,2005-02-05,1,"B","B4"
1335254,276,2,1,20,2005-02-05,2,"B","B4"
1335514,300,8,1,29,2005-02-08,2,"A","A4"
1335551,276,2,1,47,2005-02-05,2,"B","B4"
1335613,276,2,1,39,2006-05-16,1,"A","A4"
1335615,792,7,1,24,2005-12-30,1,"A","A3"
1335745,724,4,1,29,2005-12-28,1,"B","B4"
1335765,276,2,1,43,2005-02-05,3,"A","A4"
1335783,724,4,1,33,2005-02-05,1,"A","A4"
1335855,792,7,1,28,2005-05-22,3,"B","B1"
1335901,792,7,1,19,2005-02-08,2,"A","A4"
1336326,250,6,1,20,2005-02-05,2,"A","A4"
1336406,276,2,1,24,2005-02-06,3,"B","B3"
1336544,250,6,1,33,2005-02-06,2,"B","B2"
1336569,300,8,1,28,2005-02-06,3,"A","A4"
1336622,276,2,1,39,2006-02-10,2,"A","A3"
1337034,724,4,1,36,2005-02-06,3,"A","A4"
1337352,276,2,1,19,2005-02-09,2,"B","B4"
1337426,276,2,1,27,2005-02-09,2,"A","A4"
1337444,276,2,1,18,2005-02-10,2,"A","A4"
1337573,276,2,1,38,2005-02-06,2,"B","B4"
1337685,276,2,1,19,2006-02-09,2,"A","A4"
1337756,40,2,1,35,2005-02-06,2,"A","A4"
1337929,276,2,1,19,2005-02-06,3,"A","A4"
1338141,276,2,1,27,2005-02-09,2,"B","B2"
1338205,276,2,0,27,2005-02-09,2,"B","B4"
1338216,276,2,1,19,2005-02-08,1,"B","B4"
1338278,276,2,1,39,2005-02-06,2,"B","B4"
1338359,276,2,1,39,2005-02-24,3,"B","B4"
1338421,250,6,1,28,2005-06-17,3,"B","B4"
1338758,724,4,1,23,2005-03-03,1,"A","A4"
1338900,276,2,0,30,2005-02-06,3,"A","A4"
1338976,250,6,1,20,2005-02-06,1,"B","B4"
