"UserID","CountryID","Gender","BirthYear","DateReg","TimeReg","Date1Dep","Date1Bet","Date1Spo","StakeF","StakeL","StakeA","WinF","WinL","WinA","BetsF","BetsL","BetsA","DaysF","DaysL","DaysA"
1324354,276,1,1963,2005-02-01,"00:01",2005-02-24,2005-02-24,2005-02-24,15750.38,2146.47,17896.85,15010.9,1809.95,16820.85,727,71,798,231,33,233
1324355,300,1,1983,2005-02-01,"00:05",2005-02-01,2005-02-01,2005-02-01,639.2998,24.7,663.9998,569.37,11.2,580.57,286,21,307,99,7,101
1324356,276,1,1977,2005-02-01,"00:05",2005-02-01,2005-02-02,2005-02-02,898.81,701.82,1600.63,336.36,649.27,985.63,116,126,242,48,27,54
1324358,752,1,1981,2005-02-01,"00:08",2005-02-01,2005-02-01,2005-02-01,247.697,88.5927,336.2897,153.8755,55.9819,209.8574,7,4,11,5,1,5
1324360,792,1,1978,2005-02-01,"00:09",2005-02-02,2005-02-02,2005-02-02,685.9424,6.6641,692.6065,623.8984,3.0528,626.9512,386,8,394,58,4,60
1324362,276,1,1983,2005-02-01,"00:09",2005-02-11,2005-02-11,2005-02-11,274.42,9,283.42,189.74,26.5,216.24,169,7,176,57,3,57
1324363,208,1,1983,2005-02-01,"00:15",2005-02-01,2005-02-01,2005-02-01,41.53,0,41.53,0,0,0,3,0,3,3,0,3
1324364,276,1,1968,2005-02-01,"00:15",2005-02-03,2005-02-03,2005-02-03,242,320,562,198,95.65,293.65,43,70,113,22,28,46
1324368,620,1,1983,2005-02-01,"00:20",2005-03-18,2005-03-18,2005-03-18,2043.89,6202.57,8246.46,1931.78,6144.62,8076.4,150,347,497,57,68,89
1324369,792,1,1985,2005-02-01,"00:23",2005-02-01,2005-02-01,2005-02-01,591.306,944.1253,1535.4313,580.6762,865.1772,1445.8534,302,223,525,96,67,109
1324372,616,1,1974,2005-02-01,"00:33",2005-03-04,2005-03-04,2005-03-04,615.212000000001,246.6816,861.8936,591.622,218.8544,810.4764,304,215,519,131,43,141
1324373,276,1,1971,2005-02-01,"00:34",2006-02-07,2006-02-07,2006-02-07,60,0,60,0,0,0,3,0,3,3,0,3
1324377,208,1,1980,2005-02-01,"00:45",2005-02-01,2005-02-01,2005-02-01,36.3808,8.0609,44.4417,10.7671,0,10.7671,19,5,24,9,2,9
1324378,276,1,1983,2005-02-01,"00:45",2005-02-01,2005-02-01,2005-02-01,153.89,27.5,181.39,40.26,1.13,41.39,31,8,39,20,5,23
1324379,300,1,1982,2005-02-01,"00:49",2005-03-12,2005-03-12,2005-03-12,11617.1212,12596.9217,24214.0429,9837.3,11507.31,21344.61,1453,2213,3666,310,265,332
1324383,578,1,1952,2005-02-01,"00:53",2005-02-03,2005-02-03,2005-05-12,1189.3426,0,1189.3426,3031.3134,0,3031.3134,4,0,4,3,0,3
1324385,276,1,1975,2005-02-01,"01:00",2005-02-01,2005-02-01,2005-02-01,5331.09,120,5451.09,6325,120,6445,36,3,39,24,2,25
1324386,756,1,1978,2005-02-01,"01:08",2005-02-09,2005-02-09,2005-02-09,6826.3603,22041.4758,28867.8361,6480.1213,21792.8262,28272.9475,326,939,1265,138,157,185
1324387,300,1,1974,2005-02-01,"01:23",2006-02-10,2006-02-10,2006-02-10,137.23,169.51,306.74,71.68,156.06,227.74,22,38,60,6,5,10
1324393,826,1,1986,2005-02-01,"02:00",2005-02-01,2005-02-01,2005-02-01,378.4395,0,378.4395,313.4241,0,313.4241,254,0,254,43,0,43
1324396,276,1,1983,2005-02-01,"02:14",2005-02-08,2005-02-08,2005-02-08,325.75,0,325.75,300.75,0,300.75,42,0,42,15,0,15
1324399,300,1,1976,2005-02-01,"02:24",2006-03-17,2006-03-17,2006-03-17,132.15,323.53,455.68,67.92,177.26,245.18,122,281,403,22,22,26
1324400,276,1,1960,2005-02-01,"02:25",2005-02-01,2005-02-01,2005-02-01,1224.99,0,1224.99,1146.99,0,1146.99,63,0,63,34,0,34
1324402,276,0,1977,2005-02-01,"02:48",2005-02-01,2005-02-01,2005-02-01,100,0,100,0,0,0,9,0,9,5,0,5
1324403,276,1,1982,2005-02-01,"02:53",2005-02-01,2005-02-01,2005-02-01,553.75,82,635.75,743.95,121.5,865.45,224,5,229,32,2,33
1324404,276,1,1950,2005-02-01,"02:54",2005-02-01,2005-02-01,2005-02-01,67937.8373999999,24095.8921,92033.7295,54787.629999,22598.9,77386.529999,3664,1042,4706,400,231,428
1324405,724,1,1980,2005-02-01,"02:58",2005-02-18,2005-02-20,2005-02-20,70.94,52.23,123.17,63.83,55.18,119.01,94,69,163,56,21,64
1324408,250,1,1967,2005-02-01,"03:30",2005-02-08,2005-02-08,2005-02-08,277.27,139.5,416.77,157.2,88.9,246.1,189,100,289,38,17,38
1324411,276,0,1960,2005-02-01,"03:38",2005-02-04,2005-02-16,2005-02-16,120,0,120,72.6,0,72.6,2,0,2,2,0,2
1324413,300,1,1982,2005-02-01,"03:42",2005-02-08,2005-02-08,2005-02-08,2010.28,0,2010.28,1310.37,0,1310.37,254,0,254,51,0,51
1324416,276,1,1968,2005-02-01,"04:15",2005-02-01,2005-02-01,2005-02-01,1614.6,7511.69,9126.29,1017.57,6376.72,7394.29,496,994,1490,52,74,89
1324418,792,1,1980,2005-02-01,"04:19",2005-02-04,2005-02-04,2005-02-04,224.472,124.8208,349.2928,116.3511,108.4813,224.8324,228,130,358,33,20,34
1324419,276,1,1967,2005-02-01,"04:35",2005-02-01,2005-02-01,2005-02-01,21941.1067,3053.2333,24994.34,24149.17,1854.49,26003.66,416,54,470,99,34,101
1324420,250,1,1980,2005-02-01,"05:17",2005-02-01,2005-02-01,2005-02-01,122.5,0,122.5,103.43,0,103.43,42,0,42,13,0,13
1324421,276,1,1970,2005-02-01,"05:31",2005-02-03,2005-02-03,2005-02-03,77.25,1,78.25,48.25,0,48.25,13,1,14,9,1,9
1324424,276,1,1969,2005-02-01,"06:08",2005-02-01,2005-02-02,2005-02-02,177.3,0,177.3,37.3,0,37.3,31,0,31,14,0,14
1324427,300,0,1962,2005-02-01,"06:21",2005-02-08,2005-02-08,2005-02-08,192.9,0,192.9,147.96,0,147.96,18,0,18,12,0,12
1324429,276,1,1969,2005-02-01,"06:47",2005-02-04,2005-02-04,2005-02-04,50,0,50,0,0,0,5,0,5,5,0,5
1324432,792,1,1979,2005-02-01,"06:59",2005-02-01,2005-02-01,2005-02-01,55.3694,0,55.3694,39.9544,0,39.9544,45,0,45,4,0,4
1324433,792,1,1979,2005-02-01,"07:00",2005-02-04,2005-02-05,2005-02-05,24.5859,0,24.5859,60.4447,0,60.4447,19,0,19,13,0,13
1324434,276,1,1957,2005-02-01,"07:03",2005-02-03,2005-02-03,2005-02-03,129.5,10,139.5,102.68,0,102.68,65,5,70,25,4,27
1324436,276,1,1981,2005-02-01,"07:06",2006-04-22,2006-04-22,2006-04-22,1050.22,1536.84,2587.06,1014.33,1614.83,2629.16,188,48,236,95,21,102
1324437,792,1,1969,2005-02-01,"07:08",2005-02-02,2005-02-02,2005-02-02,662.5903,2717.3304,3379.9207,559.4753,2496.1456,3055.6209,144,384,528,39,33,51
1324438,203,1,1979,2005-02-01,"07:09",2005-02-01,2005-02-02,2005-02-02,1073.69,45,1118.69,1064.05,67.2,1131.25,147,5,152,88,4,88
1324441,276,0,1981,2005-02-01,"07:23",2005-03-09,2005-03-11,2005-03-11,35,0,35,43.25,0,43.25,7,0,7,6,0,6
1324442,276,1,1971,2005-02-01,"07:30",2005-02-01,2005-02-01,2005-02-01,25.61,32.36,57.97,11.2,31.77,42.97,6,14,20,5,5,8
1324443,380,1,1977,2005-02-01,"07:31",2005-02-07,2005-02-13,2005-02-13,548.73,0,548.73,449.31,0,449.31,227,0,227,86,0,86
1324444,276,1,1965,2005-02-01,"07:34",2005-02-01,2005-02-01,2005-02-01,953.35,456.5,1409.85,754.94,406.43,1161.37,362,322,684,59,16,61
1324446,792,1,1970,2005-02-01,"07:40",2005-02-03,2005-02-03,2005-02-03,4.6192,0.0037,4.6229,0,0,0,8,1,9,7,1,8
1324448,36,0,1975,2005-02-01,"07:42",2005-02-02,2005-02-02,2005-02-02,11.5146,0,11.5146,5.3735,0,5.3735,3,0,3,1,0,1
1324449,276,1,1938,2005-02-01,"07:42",2005-02-04,2005-02-04,2005-02-04,13427.95,20928.91,34356.86,12458.09,19591.979999,32050.069999,692,1408,2100,393,317,486
1324454,250,1,1973,2005-02-01,"07:51",2005-02-01,2005-02-01,2005-02-01,478.86,75.56,554.42,359.6,34,393.6,436,61,497,31,16,32
1324455,276,1,1986,2005-02-01,"07:52",2005-02-09,2005-02-09,2005-02-09,13.59,55.1,68.69,0,58.69,58.69,1,5,6,1,2,2
1324456,276,1,1968,2005-02-01,"07:53",2005-02-01,2005-02-03,2005-02-03,63,493.26,556.26,58.25,363.01,421.26,9,68,77,6,13,16
1324459,276,1,1984,2005-02-01,"07:56",2005-02-04,2005-02-04,2005-02-04,10,0,10,0,0,0,5,0,5,5,0,5
1324460,276,1,1961,2005-02-01,"07:58",2005-02-04,2005-02-04,2005-02-04,497.5,0,497.5,487.64,0,487.64,199,0,199,46,0,46
1324461,380,1,1977,2005-02-01,"07:59",2005-04-25,2005-04-25,2005-04-25,150.24,0,150.24,80.24,0,80.24,12,0,12,8,0,8
1324465,276,1,1975,2005-02-01,"08:03",2005-02-03,2005-02-03,2005-02-03,1306.41,396.23,1702.64,1066.87,391.97,1458.84,1821,397,2218,285,69,291
